"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"ANT1","2450AT18D0100E_RH","1.5mm","12mm","1.5mm","12mm","2.15mm","13.5mm","T","90.00","2450AT18D0100E"
"B1","K2-1808SN-A4SW-01","3.5mm","30.5mm","3.5mm","30.5mm","5.65mm","29.425mm","T","180.00","K2-1808SN-A4SW-01"
"B2","K2-1808SN-A4SW-01","9.5mm","30.5mm","9.5mm","30.5mm","11.65mm","29.425mm","T","180.00","K2-1808SN-A4SW-01"
"C1","CAP_0603_HIGH","32.25mm","20.5mm","32.25mm","20.5mm","32.95mm","20.5mm","T","180.00","10uF"
"C2","CAP_0402_HIGH","29.75mm","20.5mm","29.75mm","20.5mm","29.3mm","20.5mm","T","360.00","100nF"
"C3","CAP_0402_HIGH","15mm","21.5mm","15mm","21.5mm","15mm","21.05mm","T","90.00","100nF"
"C4","CAP_0402_HIGH","15mm","17.5mm","15mm","17.5mm","15mm","17.05mm","T","90.00","100nF"
"C5","CAP_0402_HIGH","15mm","15.5mm","15mm","15.5mm","15mm","15.95mm","T","270.00","100nF"
"C6","CAP_0603_HIGH","1mm","21mm","1mm","21mm","1mm","21.7mm","T","270.00","10uF"
"C7","CAP_0402_HIGH","1mm","27.5mm","1mm","27.5mm","1mm","27.95mm","T","270.00","100nF"
"C10","CAP_0402_HIGH","13.8mm","33.85mm","13.8mm","33.85mm","13.35mm","33.85mm","T","360.00","100nF"
"C11","CAP_0402_HIGH","19.5mm","12.5mm","19.5mm","12.5mm","19.05mm","12.5mm","T","360.00","4.7uF"
"C12","CAP_0402_HIGH","16mm","9mm","16mm","9mm","16mm","9.45mm","T","270.00","4.7uF"
"C13","CAP_0603_HIGH","24.3mm","14mm","24.3mm","14mm","25mm","14mm","T","180.00","10uF"
"C14","CAP_0603_HIGH","24.3mm","18mm","24.3mm","18mm","25mm","18mm","T","180.00","22uF"
"C15","CAP_0402_HIGH","26.5mm","16mm","26.5mm","16mm","26.5mm","15.55mm","T","90.00","100nF"
"C16","CAP_0603_HIGH","27.5mm","18mm","27.5mm","18mm","28.2mm","18mm","T","180.00","22uF"
"C17","CAP_0603_HIGH","32.5mm","17.5mm","32.5mm","17.5mm","32.5mm","18.2mm","T","270.00","22uF"
"C18","CAP_0402_HIGH","34mm","17.5mm","34mm","17.5mm","34mm","17.95mm","T","270.00","100nF"
"C19","CAP_0402_HIGH","24mm","20.5mm","24mm","20.5mm","23.55mm","20.5mm","T","360.00","100nF"
"C20","CAP_0402_HIGH","24mm","23.5mm","24mm","23.5mm","24.45mm","23.5mm","T","180.00","100nF"
"D1","WS2812B-B","18.5mm","22mm","18.5mm","22mm","19.7mm","24.45mm","T","270.00","WS2812B-B"
"D2","SS34","25.5mm","10mm","25.5mm","10mm","25.5mm","8.05mm","T","90.00","SS34"
"D3","SS34","33.5mm","13mm","33.5mm","13mm","33.5mm","11.05mm","T","90.00","SS34"
"D4","SS34","22.5mm","10mm","22.5mm","10mm","22.5mm","8.05mm","T","90.00","SS34"
"L1","YNR3015-2R2M","20.8mm","16mm","20.8mm","16mm","20.8mm","14.85mm","T","90.00","YNR3015-2R2M"
"L2","VLS3015ET-3R3M","29.5mm","12mm","29.5mm","12mm","28.375mm","12mm","T","360.00","VLS3015ET-3R3M"
"P2","MicroXNJ","24mm","3.673mm","24mm","5mm","22.7mm","5mm","T","0.00","MicroXNJ"
"Q1","AO3400A","12.0005mm","7.9993mm","12.0005mm","7.9993mm","11.0505mm","6.6243mm","T","90.00","AO3400A"
"Q2","AO3401A","12mm","12.5mm","12mm","12.5mm","11.05mm","11.125mm","T","90.00","AO3401A"
"R1","RES_0402_HIGH","27.75mm","20.5mm","27.75mm","20.5mm","27.3mm","20.5mm","T","360.00","1M"
"R2","RES_0402_HIGH","15mm","19.5mm","15mm","19.5mm","15mm","19.95mm","T","270.00","10k"
"R3","RES_0402_HIGH","2mm","16.5mm","2mm","16.5mm","2mm","16.05mm","T","90.00","0"
